name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
A CORUNA,A Coruna Airport,A Coruna,ES,LCG,43.3021,-8.3773,manual_override,destination
AALBORG,Aalborg Airport,Aalborg,DK,AAL,57.09276,9.84924,city_match_single,destination
AARHUS (TIRSTRUP),Aarhus Airport,Aarhus,DK,AAR,56.3,10.619,city_match_single,destination
ABERDEEN,Aberdeen Dyce Airport,Aberdeen,GB,ABZ,57.2019,-2.19778,city_multi_noqualifier_guess,destination
ABU DHABI - BATEEN,Abu Dhabi International Airport,Abu Dhabi,AE,AUH,24.433,54.6511,city_multi_noqualifier_guess,destination
ABU DHABI INTERNATIONAL,Abu Dhabi International Airport,Abu Dhabi,AE,AUH,24.433,54.6511,city_multi_noqualifier_guess,destination
ABUJA,Nnamdi Azikiwe International Airport,Abuja,NG,ABV,9.00679,7.26317,city_match_single,destination
ACCRA,Kotoka International Airport,Accra,GH,ACC,5.60519,-0.16679,city_match_single,destination
ADANA,Adana Airport,Adana,TR,ADA,36.9822,35.2804,city_multi_noqualifier_guess,destination
ADDIS ABABA,Bole International Airport,Addis Ababa,ET,ADD,8.97789,38.7993,city_match_single,destination
AGADIR (AL MASSIRA),Al Massira Airport,Agadir,MA,AGA,30.325,-9.41307,city_match_single,destination
AHMEDABAD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,IN,AMD,23.0772,72.6347,city_match_single,destination
AJACCIO,Meribel Airport,Ajaccio,FR,MFX,45.4069,6.58056,city_match_single,destination
AKTAU,Aktau International Airport,Aktau,KZ,SCO,43.8601,51.092,city_match_single,destination
AKUREYRI,Akureyri Airport,Akureyri,IS,AEY,65.66,-18.0727,city_match_single,destination
ALESUND,Alesund Airport Vigra,Alesund,NO,AES,62.5625,6.1197,manual_override,destination
ALGHERO (FERTILIA),Alghero / Fertilia Airport,Alghero,IT,AHO,40.6321,8.29077,city_match_single,destination
ALGIERS,Houari Boumediene Airport,Algiers,DZ,ALG,36.691,3.21541,city_match_single,destination
ALICANTE,Alicante International Airport,Alicante,ES,ALC,38.2822,-0.55816,city_match_single,destination
ALMATY,Almaty International Airport,Almaty,KZ,ALA,43.3521,77.0405,city_match_single,destination
ALMERIA,Almeria International Airport,Almeria,ES,LEI,36.8439,-2.3701,city_match_single,destination
AMMAN,Amman-Marka International Airport,Amman,JO,ADJ,31.9727,35.9916,city_multi_noqualifier_guess,destination
AMMAN (KING HUSSEIN),Amman-Marka International Airport,Amman,JO,ADJ,31.9727,35.9916,city_multi_qualifier(0.22),destination
AMRITSAR,Sri Guru Ram Dass Jee International Airport Amritsar,Amritsar,IN,ATQ,31.7096,74.7973,city_match_single,destination
AMSTERDAM,Amsterdam Airport Schiphol,Amsterdam,NL,AMS,52.3086,4.76389,city_match_single,destination
ANCONA,Ancona / Falconara Airport,Ancona,IT,AOI,43.6163,13.3623,city_match_single,destination
ANKARA (ESENBOGA),Esenboga International Airport,Ankara,TR,ESB,40.1281,32.9951,city_multi_qualifier(0.72),destination
ANTALYA,Antalya International Airport,Antalya,TR,AYT,36.8987,30.8005,city_match_single,destination
ANTIGUA,V.C. Bird International Airport,Antigua,AG,ANU,17.1367,-61.7927,manual_override,destination
