index,run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
1996,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"CAPE VERDE ISLANDS","BOA VISTA (RABIL)","TUI AIRWAYS LTD",Arrival,Scheduled,15,0,0,20,40,20,13.333333,0,0,6.666667,0,0,0,0,13,14,100,2
1997,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"CAPE VERDE ISLANDS","BOA VISTA (RABIL)","TUI AIRWAYS LTD",Departure,Scheduled,15,0,0,0,20,60,13.333333,0,6.666667,0,0,0,0,0,11,14,85.714286,7
1998,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"CAPE VERDE ISLANDS","ILHA DO SAL C.VERDE","TUI AIRWAYS LTD",Arrival,Scheduled,14,0,0,0,0,21.428571,28.571429,35.714286,14.285714,0,0,0,0,0,36,14,71.428571,7
1999,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"CAPE VERDE ISLANDS","ILHA DO SAL C.VERDE","TUI AIRWAYS LTD",Departure,Scheduled,14,0,0,0,0,50,42.857143,7.142857,0,0,0,0,0,0,16,14,78.571429,9
2000,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,CALGARY,"WEST JET AIRLINES",Arrival,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,9,44.444444,69
2001,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,CALGARY,"WEST JET AIRLINES",Departure,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,9,33.333333,73
2002,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,"MONTREAL (DORVAL)","AIR TRANSAT",Arrival,Scheduled,13,0,0,23.076923,23.076923,23.076923,23.076923,7.692308,0,0,0,0,0,0,9,0,0,NULL
2003,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,"MONTREAL (DORVAL)","AIR TRANSAT",Departure,Scheduled,13,0,0,0,30.769231,53.846154,15.384615,0,0,0,0,0,0,0,6,0,0,NULL
2004,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,TORONTO,"AIR TRANSAT",Arrival,Scheduled,31,0,0,3.225806,16.129032,32.258065,29.032258,6.451613,9.677419,0,3.225806,0,0,0,26,11,54.545455,13
2005,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,TORONTO,"AIR TRANSAT",Departure,Scheduled,31,0,0,0,38.709677,45.16129,0,9.677419,3.225806,0,3.225806,0,0,0,16,11,81.818182,9
2006,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,TORONTO,"WEST JET AIRLINES",Arrival,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,6,66.666667,17
2007,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,CANADA,TORONTO,"WEST JET AIRLINES",Departure,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,6,50,31
2008,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ANTIGUA AND BARBUDA",ANTIGUA,"BRITISH AIRWAYS PLC",Arrival,Scheduled,6,0,0,0,33.333333,16.666667,16.666667,33.333333,0,0,0,0,0,0,24,4,50,47
2009,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ANTIGUA AND BARBUDA",ANTIGUA,"BRITISH AIRWAYS PLC",Departure,Scheduled,9,0,0,0,44.444444,22.222222,0,33.333333,0,0,0,0,0,0,15,4,50,64
2010,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"BRITISH AIRWAYS PLC",Arrival,Charter,2,0,0,0,0,50,0,50,0,0,0,0,0,0,28,0,0,NULL
2011,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"BRITISH AIRWAYS PLC",Arrival,Scheduled,20,0,0,5,5,45,25,20,0,0,0,0,0,0,16,23,39.130435,24
2012,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"BRITISH AIRWAYS PLC",Departure,Charter,2,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,NULL
2013,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"BRITISH AIRWAYS PLC",Departure,Scheduled,20,0,0,0,40,20,20,20,0,0,0,0,0,0,13,22,86.363636,10
2014,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"TUI AIRWAYS LTD",Arrival,Charter,27,0,1,0,0,14.285714,21.428571,25,28.571429,7.142857,0,0,0,3.571429,54,13,21.428571,62
2015,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,BARBADOS,BRIDGETOWN,"TUI AIRWAYS LTD",Departure,Charter,23,0,0,0,0,43.478261,43.478261,13.043478,0,0,0,0,0,0,17,13,53.846154,33
2016,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,GRENADA,GRENADA,"BRITISH AIRWAYS PLC",Arrival,Scheduled,14,0,0,0,28.571429,7.142857,14.285714,42.857143,7.142857,0,0,0,0,0,28,9,55.555556,41
2017,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,GRENADA,GRENADA,"BRITISH AIRWAYS PLC",Departure,Scheduled,13,0,0,0,7.692308,30.769231,15.384615,30.769231,7.692308,7.692308,0,0,0,0,36,9,100,2
2018,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,KINGSTON,"BRITISH AIRWAYS PLC",Arrival,Scheduled,13,0,0,0,7.692308,15.384615,15.384615,23.076923,15.384615,15.384615,0,7.692308,0,0,154,13,30.769231,40
2019,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,KINGSTON,"BRITISH AIRWAYS PLC",Departure,Scheduled,13,0,0,0,0,23.076923,38.461538,7.692308,15.384615,7.692308,0,7.692308,0,0,117,13,61.538462,35
2020,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,"MONTEGO BAY","BRITISH AIRWAYS PLC",Arrival,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,9,66.666667,17
2021,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,"MONTEGO BAY","BRITISH AIRWAYS PLC",Departure,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,9,88.888889,11
2022,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,"MONTEGO BAY","TUI AIRWAYS LTD",Arrival,Charter,14,0,0,0,0,21.428571,28.571429,21.428571,21.428571,7.142857,0,0,0,0,48,13,23.076923,36
2023,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,"MONTEGO BAY","TUI AIRWAYS LTD",Arrival,Scheduled,1,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,NULL
2024,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,JAMAICA,"MONTEGO BAY","TUI AIRWAYS LTD",Departure,Charter,15,0,0,0,0,26.666667,46.666667,20,0,6.666667,0,0,0,0,29,13,38.461538,26
2025,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"SAINT KITTS AND NEVIS","ST KITTS","BRITISH AIRWAYS PLC",Arrival,Scheduled,9,0,0,22.222222,11.111111,33.333333,22.222222,0,0,0,0,11.111111,0,0,47,9,77.777778,8
2026,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"SAINT KITTS AND NEVIS","ST KITTS","BRITISH AIRWAYS PLC",Departure,Scheduled,8,0,0,0,25,50,0,25,0,0,0,0,0,0,11,9,66.666667,11
2027,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ST LUCIA","ST LUCIA (HEWANORRA)","BRITISH AIRWAYS PLC",Arrival,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,8,75,17
2028,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ST LUCIA","ST LUCIA (HEWANORRA)","BRITISH AIRWAYS PLC",Departure,Scheduled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,7,85.714286,16
2029,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ST LUCIA","ST LUCIA (HEWANORRA)","TUI AIRWAYS LTD",Arrival,Charter,4,0,0,0,0,25,25,25,0,25,0,0,0,0,51,4,75,13
2030,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"ST LUCIA","ST LUCIA (HEWANORRA)","TUI AIRWAYS LTD",Departure,Charter,5,0,0,0,20,20,40,20,0,0,0,0,0,0,20,4,75,25
2031,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TRINIDAD AND TOBAGO","PORT OF SPAIN","BRITISH AIRWAYS PLC",Arrival,Scheduled,22,0,0,13.636364,40.909091,36.363636,0,4.545455,4.545455,0,0,0,0,0,8,15,86.666667,10
2032,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TRINIDAD AND TOBAGO","PORT OF SPAIN","BRITISH AIRWAYS PLC",Departure,Scheduled,21,0,0,0,0,57.142857,14.285714,14.285714,9.52381,4.761905,0,0,0,0,29,15,53.333333,19
2033,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TRINIDAD AND TOBAGO",TOBAGO,"BRITISH AIRWAYS PLC",Arrival,Scheduled,9,0,0,44.444444,0,22.222222,11.111111,11.111111,11.111111,0,0,0,0,0,17,6,83.333333,8
2034,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TRINIDAD AND TOBAGO",TOBAGO,"BRITISH AIRWAYS PLC",Departure,Scheduled,9,0,0,0,11.111111,55.555556,0,11.111111,22.222222,0,0,0,0,0,28,7,85.714286,6
2035,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TURKS AND CAICOS ISLANDS",PROVIDENCIALES,"BRITISH AIRWAYS PLC",Arrival,Scheduled,2,0,0,0,50,0,50,0,0,0,0,0,0,0,15,0,0,NULL
2036,"17/08/2023 17:26","2023-01-01 00:00:00",GATWICK,"TURKS AND CAICOS ISLANDS",PROVIDENCIALES,"BRITISH AIRWAYS PLC",Departure,Scheduled,2,0,0,0,0,50,0,50,0,0,0,0,0,0,21,0,0,NULL
